created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 14:12:51 +0000 2023;1718631988389896214;"@ZeenatActivist #FreePalestine";0;0;0;0;qme;1282313206250319872;1718604132456771990;AmnaLucci;https://twitter.com/AmnaLucci/status/1718631988389896214
Sun Oct 29 14:12:50 +0000 2023;1718631986401792443;"@AndyPark23 IT'S A HUMANITARIAN DUTY  #StopGenocideInGaza #CeaseFireInGaza #StarLinkForGaza #CeaseFireNOW #FreePalestine";0;0;0;0;en;1326193695608037377;1718631459811111187;strwowss;https://twitter.com/strwowss/status/1718631986401792443
Sun Oct 29 14:12:50 +0000 2023;1718631985323864276;"@rahmdess27 ITS A HUMANITARIAN DUTY  FREE PALESTINE 🇵🇸 no internet communication, no food, no safe place to live  #StopGenocideInGaza  #CeaseFireInGaza  #CeaseFireNOW #FreePalestine";0;0;0;0;en;1688502539497656320;1718620119457529930;grumpyata;https://twitter.com/grumpyata/status/1718631985323864276
Sun Oct 29 14:12:50 +0000 2023;1718631984740565078;"@dailyofkei ITS A HUMANITARIAN DUTY FREE PALESTINE 🇵🇸  #StopGenocideInGaza  #CeaseFireInGaza  #CeaseFireNOW #Starlinkforgaza  #FreePalestine";0;0;0;0;en;1543409564745433088;1718617531039244306;forchyj;https://twitter.com/forchyj/status/1718631984740565078
Sun Oct 29 14:12:50 +0000 2023;1718631984292069573;"@milkberrycf IT'S A HUMANITARIAN DUTY FREE PALESTINE 🇵🇸  #StopGenocideInGaza #CeaseFireInGaza #StarLinkForGaza #CeaseFireNOW #FreePalestine";0;0;0;0;en;1507680804952227840;1718628997763051954;y2kchannn;https://twitter.com/y2kchannn/status/1718631984292069573
Sun Oct 29 14:12:49 +0000 2023;1718631981943284056;"AAA finally it shows up trending for me !!  If you see this, please reply  #CeasefireNOW #FreePalestine + words to help spread the word and feel free to put helpful sources to it. We have to do everything we can to support Palestine and never stop speaking about it‼️🇵🇸🇵🇸 https://t.co/lBQsGUCpP9";0;0;0;0;en;1255152245584232452;1718631981943284056;bluberrycream;https://twitter.com/bluberrycream/status/1718631981943284056
Sun Oct 29 14:12:49 +0000 2023;1718631981330960875;"@aegyonanaaaa ITS A HUMANITARIAN DUTY  FREE PALESTINE 🇵🇸 no internet communication, no food, no safe place to live  #StopGenocideInGaza  #CeaseFireInGaza  #CeaseFireNOW #FreePalestine";0;0;0;0;en;1287526653829120000;1718628216402067904;pjiesungs;https://twitter.com/pjiesungs/status/1718631981330960875
Sun Oct 29 14:12:49 +0000 2023;1718631980416520661;"@BTSARMYcasa ITS A HUMANITARIAN DUTY FREE PALESTINE 🇵🇸 #StopGenocideInGaza  #CeaseFireInGaza  #CeaseFireNOW #FreePalestine";0;0;0;0;en;1662278851156922368;1718595854616113543;sserendipie;https://twitter.com/sserendipie/status/1718631980416520661
Sun Oct 29 14:12:49 +0000 2023;1718631978956702076;"Keep the #Boycott  It’s working  #BoycottIsrael and its nazi supporters  #IsraeliNewNazism  #IsraelTerrorrist  #FreePalestine  #FreeGaza   https://t.co/JDxgZ7aBqs https://t.co/ISQ1LACMsC";0;0;0;0;en;805552702600122368;1718628953680695448;YasOuadghiri;https://twitter.com/YasOuadghiri/status/1718631978956702076
Sun Oct 29 14:12:48 +0000 2023;1718631977782583792;"ITS A HUMANITARIAN DUTY  FREE PALESTINE 🇵🇸 no internet communication, no food, no safe place to live  #StopGenocideInGaza  #CeaseFireInGaza  #CeaseFireNOW #FreePalestine";0;0;0;0;en;1014876885816356864;1718631977782583792;donghyeokdhn;https://twitter.com/donghyeokdhn/status/1718631977782583792
Sun Oct 29 14:12:48 +0000 2023;1718631975916106209;"RAISE YOUR VOICES  SAVE PALESTINE, IT'S A HUMANITARIAN DUTY!  #StopGenocideInGaza #CeaseFireInGaza #CeaseFireNOW #FreePalestine";0;0;0;0;en;412045859;1718631975916106209;lavacheesecake;https://twitter.com/lavacheesecake/status/1718631975916106209
